n,sz,t,f,s,c,h,v,
HPT_Status,2,RN,utf8s,CD01,CCC1,000E,0V,
ICP_Status,2,R,utf8s,CD01,CCC2,0011,OP,
MCB_Status,2,R,utf8s,CD01,CCC3,0013,TR,
RCD_Status,2,R,utf8s,CD01,CCC4,0015,TR,
Conn_Lock_Status,2,RW,utf8s,CD01,CCC5,0017,UL,
Max_Current_Cable,1,R,uint8,CD02,CCB0,001A,0,
Instalation_Current_Limit,1,RW,uint8,CD02,CCB1,001C,0,
Current_Command,1,RW,uint8,CD02,CCB2,001E,0,
Inst_Current,2,RN,16bit,CD02,CCB3,0020,0,
Inst_Voltage,2,R,uint16,CD02,CCB4,0023,0,
Active_Power,2,R,16bit,CD02,CCB5,0025,0,
Reactive_Power,2,R,16bit,CD02,CCB6,0027,0,
Active_Energy,4,R,32bit,CD02,CCB7,0029,0,
Reactive_Energy,4,R,32bit,CD02,CCB8,002B,0,
Apparent_Power,4,R,32bit,CD02,CCB9,002D,0,
Power_Factor,1,R,uint8,CD02,CCBA,002F,,
Record,512,R,uint8_array,CD03,CCC0,0032,,
User,1,RW,uint8,CD03,CBC1,0034,0,
Session_Number,1,R,uint8,CD03,CBC2,0036,0,
Date_Time,6,RW,uint8_array,CD04,CCD0,0039,00:00:00:00:00:00,
Connection_Date_Time,6,R,uint8_array,CD04,CCD1,003B,00:00:00:00:00:00,
Disconnection_Date_Time,6,R,uint8_array,CD04,CCD2,003D,00:00:00:00:00:00,
Delta_Delay_for_Charging,2,RW,uint8_array,CD04,CCD3,003F,00:00,
Charging_Start_Time,6,RW,uint8_array,CD04,CCD4,0041,00:00:00:00:00:00,
Charging_Stop_Time,6,RW,uint8_array,CD04,CCD5,0043,00:00:00:00:00:00,
Instant_Delayed,1,RW,uint8,CD05,CCE0,0046,0,
Start_Stop_Start_Mode,1,RW,uint8,CD05,CCE1,0048,0,
BLE_Manual_start,1,RW,uint8,CD05,CCE2,004A,0,
BLE_Manual_Stop,1,RW,uint8,CD05,CCE3,004C,0,
Schedule_Matrix,168,RW,uint8_array,CD06,CCF0,004F,0,
Charger_Device_ID,11,RW,utf8s,CD07,CC00,0052,VCD17010000,
Users_Number,1,RW,uint8,CD07,CC01,0054,0,
user_type,1,RW,uint8,CD07,CC02,0056,0,
User_Index,1,RW,uint8,CD07,CC03,0058,0,
Launch_RCD_PE_Test,1,RW,uint8,CD08,CC10,005B,0,
RCD_PE_Test_Result,1,RW,uint8,CD08,CC11,005D,0,
Launch_MCB_Test,1,RW,uint8,CD08,CC12,005F,0,
MCB_Test_Result,1,RW,uint8,CD08,CC13,0061,0,
Locking_Mechanism_ON_OFF,1,RW,uint8,CD09,CC20,0064,0,
Protection_Code,1,R,uint8,CD0A,CC30,0067,255,
Load_SW_App,1,RW,uint8,CD0A,CC31,0069,0,
Binary_Block,288,WN,uint8_array,CD0A,CC32,006B,0,
Luminosity_Level,1,RW,uint8,CD0B,CC40,006F,50,
R_Led_Colour,1,RW,uint8,CD0B,CC41,0071,50,
G_Led_Colour,1,RW,uint8,CD0B,CC42,0073,50,
B_Led_Colour,1,RW,uint8,CD0B,CC43,0075,50,
Reset,1,W,uint8,CD0C,CC50,0078,0,
Write_Pass,6,W,utf8s,CD0D,CC60,007B,000000,
Rec_Capacity,2,RW,uint16,CD0E,CCA0,007E,16,
Rec_Last,2,R,16bit,CD0E,CCA1,0080,-1,
Rec_Index,2,RW,uint16,CD0E,CCA2,0082,0,
Rec_Laps,2,R,uint16,CD0E,CCA3,0084,0,
Version_Firmware,10,R,utf8s,CD0F,CC70,0087,VELT1_0000,
Version_Firm_BLE,10,R,utf8s,CD0F,CC71,0089,VBLE1_0000,
Autentication_Modes,2,RW,utf8s,CD00,CC80,008C,AA,
Serial_Number,10,W,uint8_array,CD10,CC90,008F,,
Matrix,8,R,uint8_array,CD10,CC91,0091,,
Token,8,W,uint8_array,CD10,CC92,0093,,
Real_Current_Limit,1,RW,uint8,CD20,CE00,0096,,
Domestic_Current,2,R,uint16,CD20,CE01,0098,0,
KS,1,RW,uint8,CD20,CE02,009A,,
FCT,1,RW,uint8,CD20,CE03,009C,,
FS,1,RW,uint8,CD20,CE04,009E,,
Potencia_Contratada,2,RW,uint16,CD20,CE05,00A0,,
DPC_Mode,1,RW,uint8,CD20,CE06,00A2,
Error_Code,1,R,uint8,CD30,CF00,00A5,,
FwProlog,16,W,uint8_array,CD01,C0A7,00AD,,
FwData,264,WN,uint8_array,CD01,C007,00AE,,
FwEpilog,4,W,uint8_array,CD01,C0B7,00AF,,
WiFi_ON,1,RW,uint8,CD40,XXXX,00B1,,
SSID_1,16,R,uint8_array,CD40,XXXX,00B3,,
SSID_2,16,R,uint8_array,CD40,XXXX,00B5,,
Start_Prov,1,W,uint8,CD40,XXXX,00B7,,
Eth_ON,1,RW,uint8,CD40,XXXX,00B9,,
LAN_IP,4,R,uint8_array,CD40,XXXX,00BB,,
Group_operations,1,W,uint8,CD40,XXXX,00BD,,
Group_params,6,RW,uint8_array,CD40,XXXX,00BF,,
Circuits,41,RW,uint8_array,CD40,XXXX,00C1,,
Potencia_Contratada2,2,RW,uint16,CD20,XXXX,00C3,,
Pais,2,RW,uint8_array,CD20,XXXX,00C5,,
Calendario,41,RW,uint8_array,CD20,XXXX,00C7,,
APN,32,RW,uint8_array,CD20,XXXX,00C9,,
APN_User,32,RW,uint8_array,CD20,XXXX,00CB,,
APN_Password,32,RW,uint8_array,CD20,XXXX,00CD,,
APN_Pin,4,RW,uint8_array,CD20,XXXX,00CF,,
APN_ON,1,RW,uint8,CD20,XXXX,00D1,,
Policy,3,RW,utf8s,CD20,XXXX,00D3,,
charge_user_id,1,R,uint8,CD07,CC04,00D5,,
PUK,8,RW,uint8_array,CD20,XXXX,00D7,,
total_power,4,R,32bit,CD20,XXXX,00E7,,
net_power,4,R,32bit,CD20,XXXX,00E9,,
time_type,1,RW,uint8,CD20,XXXX,00EB,,
FwCommand,288,WN,uint8,00060000-F8CE-11E4-ABF4-0002A5D5C51B,00060001-F8CE-11E4-ABF4-0002A5D5C51B,0000,,
